stem,parent_family,style,raw_label,probability,region,subregion,notes
bass,Electronic,House,Electronic---House,0.2542976438999176,,,
bass,Electronic,Deep House,Electronic---Deep House,0.12334522604942322,,,
bass,Electronic,Techno,Electronic---Techno,0.059157583862543106,,,
bass,Electronic,Garage House,Electronic---Garage House,0.05401644483208656,,,
bass,Electronic,Experimental,Electronic---Experimental,0.043160226196050644,,,
bass,Funk / Soul,Funk,Funk / Soul---Funk,0.0375533327460289,,,
bass,Electronic,Speed Garage,Electronic---Speed Garage,0.03556175157427788,,,
bass,Electronic,Tribal House,Electronic---Tribal House,0.035274822264909744,,,
bass,Electronic,Downtempo,Electronic---Downtempo,0.033585142344236374,,,
bass,Electronic,Tech House,Electronic---Tech House,0.031064119189977646,,,
bass,Electronic,Acid House,Electronic---Acid House,0.029983459040522575,,,
bass,Electronic,Electro,Electronic---Electro,0.02840273268520832,,,
drums,Electronic,House,Electronic---House,0.1896538883447647,,,
drums,Electronic,Techno,Electronic---Techno,0.11371994018554688,,,
drums,Electronic,Deep House,Electronic---Deep House,0.10913319885730743,,,
drums,Electronic,Tech House,Electronic---Tech House,0.0849396213889122,,,
drums,Electronic,Tribal House,Electronic---Tribal House,0.08082195371389389,,,
drums,Funk / Soul,Funk,Funk / Soul---Funk,0.07514029741287231,,,
drums,Electronic,Broken Beat,Electronic---Broken Beat,0.06682274490594864,,,
drums,Electronic,Tribal,Electronic---Tribal,0.0523698627948761,,,
drums,Electronic,Latin,Electronic---Latin,0.05132070556282997,,,
drums,Electronic,Minimal Techno,Electronic---Minimal Techno,0.04789723455905914,,,
drums,Electronic,Future Jazz,Electronic---Future Jazz,0.04294867068529129,,,
drums,Electronic,Jazzdance,Electronic---Jazzdance,0.039836183190345764,,,
guitar,Electronic,House,Electronic---House,0.06993988901376724,,,
guitar,"Folk, World, & Country",Hillbilly,"Folk, World, & Country---Hillbilly",0.055894989520311356,,,
guitar,Pop,Bollywood,Pop---Bollywood,0.050497692078351974,,,
guitar,Stage & Screen,Soundtrack,Stage & Screen---Soundtrack,0.04764215275645256,,,
guitar,"Folk, World, & Country",Folk,"Folk, World, & Country---Folk",0.042609285563230515,,,
guitar,"Folk, World, & Country",Country,"Folk, World, & Country---Country",0.042213499546051025,,,
guitar,"Folk, World, & Country",Hindustani,"Folk, World, & Country---Hindustani",0.038525234907865524,,,
guitar,Jazz,Swing,Jazz---Swing,0.03772563114762306,,,
guitar,Funk / Soul,Funk,Funk / Soul---Funk,0.03756290674209595,,,
guitar,Jazz,Dixieland,Jazz---Dixieland,0.02397467941045761,,,
guitar,Reggae,Reggae,Reggae---Reggae,0.022091837599873543,,,
guitar,Funk / Soul,Disco,Funk / Soul---Disco,0.020583439618349075,,,
keys,Electronic,Experimental,Electronic---Experimental,0.046444833278656006,,,
keys,Electronic,House,Electronic---House,0.033089779317379,,,
keys,Electronic,Ambient,Electronic---Ambient,0.03249375894665718,,,
keys,Rock,Punk,Rock---Punk,0.025393832474946976,,,
keys,Electronic,Techno,Electronic---Techno,0.02457766979932785,,,
keys,Electronic,Synth-pop,Electronic---Synth-pop,0.023812122642993927,,,
keys,"Folk, World, & Country",Folk,"Folk, World, & Country---Folk",0.022487660869956017,,,
keys,Stage & Screen,Soundtrack,Stage & Screen---Soundtrack,0.02201656997203827,,,
keys,Electronic,Electro,Electronic---Electro,0.02145353890955448,,,
keys,Electronic,Downtempo,Electronic---Downtempo,0.020748864859342575,,,
keys,Rock,Alternative Rock,Rock---Alternative Rock,0.01998274028301239,,,
keys,Rock,Folk Rock,Rock---Folk Rock,0.019377917051315308,,,
vocals,Electronic,House,Electronic---House,0.03209374099969864,,,
vocals,Electronic,Experimental,Electronic---Experimental,0.03012537583708763,,,
vocals,Rock,Punk,Rock---Punk,0.02910369262099266,,,
vocals,Latin,Cubano,Latin---Cubano,0.027234576642513275,,,
vocals,Hip Hop,Grime,Hip Hop---Grime,0.026671739295125008,,,
vocals,"Folk, World, & Country",Folk,"Folk, World, & Country---Folk",0.025110352784395218,,,
vocals,Latin,Batucada,Latin---Batucada,0.022474125027656555,,,
vocals,Electronic,Techno,Electronic---Techno,0.019697628915309906,,,
vocals,Electronic,Synth-pop,Electronic---Synth-pop,0.019440792500972748,,,
vocals,Electronic,Electro,Electronic---Electro,0.019155260175466537,,,
vocals,Rock,Alternative Rock,Rock---Alternative Rock,0.019097620621323586,,,
vocals,Funk / Soul,Funk,Funk / Soul---Funk,0.01826479658484459,,,
wind,Jazz,Free Jazz,Jazz---Free Jazz,0.0678284540772438,,,
wind,Jazz,Avant-garde Jazz,Jazz---Avant-garde Jazz,0.05065549537539482,,,
wind,Jazz,Free Improvisation,Jazz---Free Improvisation,0.05007285997271538,,,
wind,Jazz,Dixieland,Jazz---Dixieland,0.04815220087766647,,,
wind,Brass & Military,Brass Band,Brass & Military---Brass Band,0.04016868770122528,,,
wind,"Folk, World, & Country",Folk,"Folk, World, & Country---Folk",0.03790290281176567,,,
wind,Jazz,Ragtime,Jazz---Ragtime,0.03695160150527954,,,
wind,Funk / Soul,Free Funk,Funk / Soul---Free Funk,0.03613773360848427,,,
wind,Jazz,Contemporary Jazz,Jazz---Contemporary Jazz,0.03232395648956299,,,
wind,Jazz,Swing,Jazz---Swing,0.024950332939624786,,,
wind,Electronic,Experimental,Electronic---Experimental,0.022410031408071518,,,
wind,Funk / Soul,Funk,Funk / Soul---Funk,0.02181757241487503,,,
